SP1_Transport	Problem type: adjoint
cell    node    group   phi     
104     1       0       0.127955
105     0       0       0.127955
105     1       0       0.12808 
106     0       0       0.12808 
106     1       0       0.128201
107     0       0       0.128201
107     1       0       0.128318
108     0       0       0.128318
108     1       0       0.12843 
109     0       0       0.12843 
109     1       0       0.128538
110     0       0       0.128538
110     1       0       0.128643
111     0       0       0.128643
111     1       0       0.128744
112     0       0       0.128744
112     1       0       0.128841
113     0       0       0.128841
113     1       0       0.128935
114     0       0       0.128935
114     1       0       0.129025
115     0       0       0.129025
115     1       0       0.129112
116     0       0       0.129112
116     1       0       0.129196
117     0       0       0.129196
117     1       0       0.129276
118     0       0       0.129276
118     1       0       0.129353
119     0       0       0.129353
119     1       0       0.129427
120     0       0       0.129427
120     1       0       0.129498
121     0       0       0.129498
121     1       0       0.129566
122     0       0       0.129566
122     1       0       0.129631
123     0       0       0.129631
123     1       0       0.129693
124     0       0       0.129693
124     1       0       0.129752
125     0       0       0.129752
125     1       0       0.129809
126     0       0       0.129809
126     1       0       0.129863
127     0       0       0.129863
127     1       0       0.129914
128     0       0       0.129914
128     1       0       0.129963
129     0       0       0.129963
129     1       0       0.130009
130     0       0       0.130009
130     1       0       0.130053
131     0       0       0.130053
131     1       0       0.130094
132     0       0       0.130094
132     1       0       0.130133
133     0       0       0.130133
133     1       0       0.130169
134     0       0       0.130169
134     1       0       0.130203
135     0       0       0.130203
135     1       0       0.130235
136     0       0       0.130235
136     1       0       0.130264
137     0       0       0.130264
137     1       0       0.130291
138     0       0       0.130291
138     1       0       0.130316
139     0       0       0.130316
139     1       0       0.130338
140     0       0       0.130338
140     1       0       0.130359
141     0       0       0.130359
141     1       0       0.130377
142     0       0       0.130377
142     1       0       0.130393
143     0       0       0.130393
143     1       0       0.130407
144     0       0       0.130407
144     1       0       0.130418
145     0       0       0.130418
145     1       0       0.130428
146     0       0       0.130428
146     1       0       0.130435
147     0       0       0.130435
147     1       0       0.130441
148     0       0       0.130441
148     1       0       0.130444
149     0       0       0.130444
149     1       0       0.130445
150     0       0       0.130445
150     1       0       0.130444
151     0       0       0.130444
151     1       0       0.130441
152     0       0       0.130441
152     1       0       0.130435
153     0       0       0.130435
153     1       0       0.130428
154     0       0       0.130428
154     1       0       0.130418
155     0       0       0.130418
155     1       0       0.130407
156     0       0       0.130407
156     1       0       0.130393
157     0       0       0.130393
157     1       0       0.130377
158     0       0       0.130377
158     1       0       0.130359
159     0       0       0.130359
159     1       0       0.130338
160     0       0       0.130338
160     1       0       0.130316
161     0       0       0.130316
161     1       0       0.130291
162     0       0       0.130291
162     1       0       0.130264
163     0       0       0.130264
163     1       0       0.130235
164     0       0       0.130235
164     1       0       0.130203
165     0       0       0.130203
165     1       0       0.130169
166     0       0       0.130169
166     1       0       0.130133
167     0       0       0.130133
167     1       0       0.130094
168     0       0       0.130094
168     1       0       0.130053
169     0       0       0.130053
169     1       0       0.130009
170     0       0       0.130009
170     1       0       0.129963
171     0       0       0.129963
171     1       0       0.129914
172     0       0       0.129914
172     1       0       0.129863
173     0       0       0.129863
173     1       0       0.129809
174     0       0       0.129809
174     1       0       0.129752
175     0       0       0.129752
175     1       0       0.129693
176     0       0       0.129693
176     1       0       0.129631
177     0       0       0.129631
177     1       0       0.129566
178     0       0       0.129566
178     1       0       0.129498
179     0       0       0.129498
179     1       0       0.129427
180     0       0       0.129427
180     1       0       0.129353
181     0       0       0.129353
181     1       0       0.129276
182     0       0       0.129276
182     1       0       0.129196
183     0       0       0.129196
183     1       0       0.129112
184     0       0       0.129112
184     1       0       0.129025
185     0       0       0.129025
185     1       0       0.128935
186     0       0       0.128935
186     1       0       0.128841
187     0       0       0.128841
187     1       0       0.128744
188     0       0       0.128744
188     1       0       0.128643
189     0       0       0.128643
189     1       0       0.128538
190     0       0       0.128538
190     1       0       0.12843 
191     0       0       0.12843 
191     1       0       0.128318
192     0       0       0.128318
192     1       0       0.128201
193     0       0       0.128201
193     1       0       0.12808 
194     0       0       0.12808 
194     1       0       0.127955
195     0       0       0.127955
195     1       0       0.127826
196     0       0       0.127826
196     1       0       0.127692
197     0       0       0.127692
197     1       0       0.127554
198     0       0       0.127554
198     1       0       0.127411
199     0       0       0.127411
199     1       0       0.127263
200     0       0       0.127263
200     1       0       0.12711 
201     0       0       0.12711 
201     1       0       0.126952
202     0       0       0.126952
202     1       0       0.126789
203     0       0       0.126789
203     1       0       0.126621
204     0       0       0.126621
204     1       0       0.126446
205     0       0       0.126446
205     1       0       0.126267
206     0       0       0.126267
206     1       0       0.126081
207     0       0       0.126081
207     1       0       0.125889
208     0       0       0.125889
208     1       0       0.125691
209     0       0       0.125691
209     1       0       0.125487
210     0       0       0.125487
210     1       0       0.125276
211     0       0       0.125276
211     1       0       0.125059
212     0       0       0.125059
212     1       0       0.124835
213     0       0       0.124835
213     1       0       0.124603
214     0       0       0.124603
214     1       0       0.124365
215     0       0       0.124365
215     1       0       0.124118
216     0       0       0.124118
216     1       0       0.123865
217     0       0       0.123865
217     1       0       0.123603
218     0       0       0.123603
218     1       0       0.123333
219     0       0       0.123333
219     1       0       0.123055
220     0       0       0.123055
220     1       0       0.122768
221     0       0       0.122768
221     1       0       0.122472
222     0       0       0.122472
222     1       0       0.122168
223     0       0       0.122168
223     1       0       0.121854
224     0       0       0.121854
224     1       0       0.12153 
225     0       0       0.12153 
225     1       0       0.121196
226     0       0       0.121196
226     1       0       0.120853
227     0       0       0.120853
227     1       0       0.120499
228     0       0       0.120499
228     1       0       0.120134
229     0       0       0.120134
229     1       0       0.119759
230     0       0       0.119759
230     1       0       0.119372
231     0       0       0.119372
231     1       0       0.118973
232     0       0       0.118973
232     1       0       0.118563
233     0       0       0.118563
233     1       0       0.11814 
234     0       0       0.11814 
234     1       0       0.117705
235     0       0       0.117705
235     1       0       0.117257
236     0       0       0.117257
236     1       0       0.116796
237     0       0       0.116796
237     1       0       0.116321
238     0       0       0.116321
238     1       0       0.115832
239     0       0       0.115832
239     1       0       0.115329
240     0       0       0.115329
240     1       0       0.114811
241     0       0       0.114811
241     1       0       0.114278
242     0       0       0.114278
242     1       0       0.11373 
243     0       0       0.11373 
243     1       0       0.113165
244     0       0       0.113165
244     1       0       0.112585
245     0       0       0.112585
245     1       0       0.111988
246     0       0       0.111988
246     1       0       0.111373
247     0       0       0.111373
247     1       0       0.110741
248     0       0       0.110741
248     1       0       0.110091
249     0       0       0.110091
249     1       0       0.109423
250     0       0       0.109423
250     1       0       0.108735
251     0       0       0.108735
251     1       0       0.108029
252     0       0       0.108029
252     1       0       0.107302
253     0       0       0.107302
253     1       0       0.106555
254     0       0       0.106555
254     1       0       0.105788
255     0       0       0.105788
255     1       0       0.104999
256     0       0       0.104999
256     1       0       0.104188
257     0       0       0.104188
257     1       0       0.103355
258     0       0       0.103355
258     1       0       0.102499
259     0       0       0.102499
259     1       0       0.10162 
260     0       0       0.10162 
260     1       0       0.100718
261     0       0       0.100718
261     1       0       0.0997905
262     0       0       0.0997905
262     1       0       0.0988385
263     0       0       0.0988385
263     1       0       0.0978612
264     0       0       0.0978612
264     1       0       0.096858
265     0       0       0.096858
265     1       0       0.0958284
266     0       0       0.0958284
266     1       0       0.0947719
267     0       0       0.0947719
267     1       0       0.093688
268     0       0       0.093688
268     1       0       0.0925761
269     0       0       0.0925761
269     1       0       0.0914358
270     0       0       0.0914358
270     1       0       0.0902665
271     0       0       0.0902665
271     1       0       0.0890677
272     0       0       0.0890677
272     1       0       0.087839
273     0       0       0.087839
273     1       0       0.0865799
274     0       0       0.0865799
274     1       0       0.0852899
275     0       0       0.0852899
275     1       0       0.0839685
276     0       0       0.0839685
276     1       0       0.0826154
277     0       0       0.0826154
277     1       0       0.0812301
278     0       0       0.0812301
278     1       0       0.0798122
279     0       0       0.0798122
279     1       0       0.0783613
280     0       0       0.0783613
280     1       0       0.0768772
281     0       0       0.0768772
281     1       0       0.0753595
282     0       0       0.0753595
282     1       0       0.0738079
283     0       0       0.0738079
283     1       0       0.0722222
284     0       0       0.0722222
284     1       0       0.0706022
285     0       0       0.0706022
285     1       0       0.0689478
286     0       0       0.0689478
286     1       0       0.0672589
287     0       0       0.0672589
287     1       0       0.0655354
288     0       0       0.0655354
288     1       0       0.0637773
289     0       0       0.0637773
289     1       0       0.0619848
290     0       0       0.0619848
290     1       0       0.060158
291     0       0       0.060158
291     1       0       0.0582971
292     0       0       0.0582971
292     1       0       0.0564025
293     0       0       0.0564025
293     1       0       0.0544746
294     0       0       0.0544746
294     1       0       0.052514
295     0       0       0.052514
295     1       0       0.0505212
296     0       0       0.0505212
296     1       0       0.048497
297     0       0       0.048497
297     1       0       0.0464424
298     0       0       0.0464424
298     1       0       0.0443584
299     0       0       0.0443584
299     1       0       0.0422461
0       0       1       0.0640491
0       1       1       0.0672516
1       0       1       0.0672516
1       1       1       0.0702987
2       0       1       0.0702987
2       1       1       0.0731987
3       0       1       0.0731987
3       1       1       0.075959
4       0       1       0.075959
4       1       1       0.0785869
5       0       1       0.0785869
5       1       1       0.0810891
6       0       1       0.0810891
6       1       1       0.0834721
7       0       1       0.0834721
7       1       1       0.0857419
8       0       1       0.0857419
8       1       1       0.0879044
9       0       1       0.0879044
9       1       1       0.089965
10      0       1       0.089965
10      1       1       0.0919289
11      0       1       0.0919289
11      1       1       0.0938008
12      0       1       0.0938008
12      1       1       0.0955856
13      0       1       0.0955856
13      1       1       0.0972875
14      0       1       0.0972875
14      1       1       0.0989108
15      0       1       0.0989108
15      1       1       0.100459
16      0       1       0.100459
16      1       1       0.101937
17      0       1       0.101937
17      1       1       0.103347
18      0       1       0.103347
18      1       1       0.104692
19      0       1       0.104692
19      1       1       0.105977
20      0       1       0.105977
20      1       1       0.107204
21      0       1       0.107204
21      1       1       0.108376
22      0       1       0.108376
22      1       1       0.109495
23      0       1       0.109495
23      1       1       0.110564
24      0       1       0.110564
24      1       1       0.111586
25      0       1       0.111586
25      1       1       0.112563
26      0       1       0.112563
26      1       1       0.113496
27      0       1       0.113496
27      1       1       0.114389
28      0       1       0.114389
28      1       1       0.115243
29      0       1       0.115243
29      1       1       0.11606 
30      0       1       0.11606 
30      1       1       0.116841
31      0       1       0.116841
31      1       1       0.117589
32      0       1       0.117589
32      1       1       0.118304
33      0       1       0.118304
33      1       1       0.118989
34      0       1       0.118989
34      1       1       0.119645
35      0       1       0.119645
35      1       1       0.120273
36      0       1       0.120273
36      1       1       0.120875
37      0       1       0.120875
37      1       1       0.121451
38      0       1       0.121451
38      1       1       0.122003
39      0       1       0.122003
39      1       1       0.122533
40      0       1       0.122533
40      1       1       0.12304 
41      0       1       0.12304 
41      1       1       0.123526
42      0       1       0.123526
42      1       1       0.123993
43      0       1       0.123993
43      1       1       0.12444 
44      0       1       0.12444 
44      1       1       0.124869
45      0       1       0.124869
45      1       1       0.125281
46      0       1       0.125281
46      1       1       0.125676
47      0       1       0.125676
47      1       1       0.126055
48      0       1       0.126055
48      1       1       0.126419
49      0       1       0.126419
49      1       1       0.126769
50      0       1       0.126769
50      1       1       0.127104
51      0       1       0.127104
51      1       1       0.127427
52      0       1       0.127427
52      1       1       0.127736
53      0       1       0.127736
53      1       1       0.128034
54      0       1       0.128034
54      1       1       0.12832 
55      0       1       0.12832 
55      1       1       0.128595
56      0       1       0.128595
56      1       1       0.128859
57      0       1       0.128859
57      1       1       0.129112
58      0       1       0.129112
58      1       1       0.129357
59      0       1       0.129357
59      1       1       0.129591
60      0       1       0.129591
60      1       1       0.129817
61      0       1       0.129817
61      1       1       0.130034
62      0       1       0.130034
62      1       1       0.130243
63      0       1       0.130243
63      1       1       0.130444
64      0       1       0.130444
64      1       1       0.130638
65      0       1       0.130638
65      1       1       0.130824
66      0       1       0.130824
66      1       1       0.131003
67      0       1       0.131003
67      1       1       0.131176
68      0       1       0.131176
68      1       1       0.131342
69      0       1       0.131342
69      1       1       0.131502
70      0       1       0.131502
70      1       1       0.131656
71      0       1       0.131656
71      1       1       0.131805
72      0       1       0.131805
72      1       1       0.131948
73      0       1       0.131948
73      1       1       0.132086
74      0       1       0.132086
74      1       1       0.132218
75      0       1       0.132218
75      1       1       0.132346
76      0       1       0.132346
76      1       1       0.132469
77      0       1       0.132469
77      1       1       0.132588
78      0       1       0.132588
78      1       1       0.132703
79      0       1       0.132703
79      1       1       0.132813
80      0       1       0.132813
80      1       1       0.132919
81      0       1       0.132919
81      1       1       0.133022
82      0       1       0.133022
82      1       1       0.133121
83      0       1       0.133121
83      1       1       0.133216
84      0       1       0.133216
84      1       1       0.133308
85      0       1       0.133308
85      1       1       0.133397
86      0       1       0.133397
86      1       1       0.133482
87      0       1       0.133482
87      1       1       0.133565
88      0       1       0.133565
88      1       1       0.133644
89      0       1       0.133644
89      1       1       0.133721
90      0       1       0.133721
90      1       1       0.133795
91      0       1       0.133795
91      1       1       0.133866
92      0       1       0.133866
92      1       1       0.133935
93      0       1       0.133935
93      1       1       0.134001
94      0       1       0.134001
94      1       1       0.134065
95      0       1       0.134065
95      1       1       0.134127
96      0       1       0.134127
96      1       1       0.134186
97      0       1       0.134186
97      1       1       0.134243
98      0       1       0.134243
98      1       1       0.134298
99      0       1       0.134298
99      1       1       0.134352
100     0       1       0.134352
100     1       1       0.134403
101     0       1       0.134403
101     1       1       0.134453
102     0       1       0.134453
102     1       1       0.1345  
103     0       1       0.1345  
103     1       1       0.134546
104     0       1       0.134546
104     1       1       0.13459 
105     0       1       0.13459 
105     1       1       0.134633
106     0       1       0.134633
106     1       1       0.134674
107     0       1       0.134674
107     1       1       0.134714
108     0       1       0.134714
108     1       1       0.134752
109     0       1       0.134752
109     1       1       0.134788
110     0       1       0.134788
110     1       1       0.134823
111     0       1       0.134823
111     1       1       0.134857
112     0       1       0.134857
112     1       1       0.13489 
113     0       1       0.13489 
113     1       1       0.134921
114     0       1       0.134921
114     1       1       0.134951
115     0       1       0.134951
115     1       1       0.13498 
116     0       1       0.13498 
116     1       1       0.135008
117     0       1       0.135008
117     1       1       0.135034
118     0       1       0.135034
118     1       1       0.13506 
119     0       1       0.13506 
119     1       1       0.135084
120     0       1       0.135084
120     1       1       0.135107
121     0       1       0.135107
121     1       1       0.13513 
122     0       1       0.13513 
122     1       1       0.135151
123     0       1       0.135151
123     1       1       0.135171
124     0       1       0.135171
124     1       1       0.135191
125     0       1       0.135191
125     1       1       0.135209
126     0       1       0.135209
126     1       1       0.135227
127     0       1       0.135227
127     1       1       0.135243
128     0       1       0.135243
128     1       1       0.135259
129     0       1       0.135259
129     1       1       0.135274
130     0       1       0.135274
130     1       1       0.135288
131     0       1       0.135288
131     1       1       0.135302
132     0       1       0.135302
132     1       1       0.135314
133     0       1       0.135314
133     1       1       0.135326
134     0       1       0.135326
134     1       1       0.135337
135     0       1       0.135337
135     1       1       0.135347
136     0       1       0.135347
136     1       1       0.135357
137     0       1       0.135357
137     1       1       0.135365
138     0       1       0.135365
138     1       1       0.135373
139     0       1       0.135373
139     1       1       0.13538 
140     0       1       0.13538 
140     1       1       0.135387
141     0       1       0.135387
141     1       1       0.135393
142     0       1       0.135393
142     1       1       0.135398
143     0       1       0.135398
143     1       1       0.135402
144     0       1       0.135402
144     1       1       0.135406
145     0       1       0.135406
145     1       1       0.135409
146     0       1       0.135409
146     1       1       0.135412
147     0       1       0.135412
147     1       1       0.135413
148     0       1       0.135413
148     1       1       0.135414
149     0       1       0.135414
149     1       1       0.135415
150     0       1       0.135415
150     1       1       0.135414
151     0       1       0.135414
151     1       1       0.135413
152     0       1       0.135413
152     1       1       0.135412
153     0       1       0.135412
153     1       1       0.135409
154     0       1       0.135409
154     1       1       0.135406
155     0       1       0.135406
155     1       1       0.135402
156     0       1       0.135402
156     1       1       0.135398
157     0       1       0.135398
157     1       1       0.135393
158     0       1       0.135393
158     1       1       0.135387
159     0       1       0.135387
159     1       1       0.13538 
160     0       1       0.13538 
160     1       1       0.135373
161     0       1       0.135373
161     1       1       0.135365
162     0       1       0.135365
162     1       1       0.135357
163     0       1       0.135357
163     1       1       0.135347
164     0       1       0.135347
164     1       1       0.135337
165     0       1       0.135337
165     1       1       0.135326
166     0       1       0.135326
166     1       1       0.135314
167     0       1       0.135314
167     1       1       0.135302
168     0       1       0.135302
168     1       1       0.135288
169     0       1       0.135288
169     1       1       0.135274
170     0       1       0.135274
170     1       1       0.135259
171     0       1       0.135259
171     1       1       0.135243
172     0       1       0.135243
172     1       1       0.135227
173     0       1       0.135227
173     1       1       0.135209
174     0       1       0.135209
174     1       1       0.135191
175     0       1       0.135191
175     1       1       0.135171
176     0       1       0.135171
176     1       1       0.135151
177     0       1       0.135151
177     1       1       0.13513 
178     0       1       0.13513 
178     1       1       0.135107
179     0       1       0.135107
179     1       1       0.135084
180     0       1       0.135084
180     1       1       0.13506 
181     0       1       0.13506 
181     1       1       0.135034
182     0       1       0.135034
182     1       1       0.135008
183     0       1       0.135008
183     1       1       0.13498 
184     0       1       0.13498 
184     1       1       0.134951
185     0       1       0.134951
185     1       1       0.134921
186     0       1       0.134921
186     1       1       0.13489 
187     0       1       0.13489 
187     1       1       0.134857
188     0       1       0.134857
188     1       1       0.134823
189     0       1       0.134823
189     1       1       0.134788
190     0       1       0.134788
190     1       1       0.134752
191     0       1       0.134752
191     1       1       0.134714
192     0       1       0.134714
192     1       1       0.134674
193     0       1       0.134674
193     1       1       0.134633
194     0       1       0.134633
194     1       1       0.13459 
195     0       1       0.13459 
195     1       1       0.134546
196     0       1       0.134546
196     1       1       0.1345  
197     0       1       0.1345  
197     1       1       0.134453
198     0       1       0.134453
198     1       1       0.134403
199     0       1       0.134403
199     1       1       0.134352
200     0       1       0.134352
200     1       1       0.134298
201     0       1       0.134298
201     1       1       0.134243
202     0       1       0.134243
202     1       1       0.134186
203     0       1       0.134186
203     1       1       0.134127
204     0       1       0.134127
204     1       1       0.134065
205     0       1       0.134065
205     1       1       0.134001
206     0       1       0.134001
206     1       1       0.133935
207     0       1       0.133935
207     1       1       0.133866
208     0       1       0.133866
208     1       1       0.133795
209     0       1       0.133795
209     1       1       0.133721
210     0       1       0.133721
210     1       1       0.133644
211     0       1       0.133644
211     1       1       0.133565
212     0       1       0.133565
212     1       1       0.133482
213     0       1       0.133482
213     1       1       0.133397
214     0       1       0.133397
214     1       1       0.133308
215     0       1       0.133308
215     1       1       0.133216
216     0       1       0.133216
216     1       1       0.133121
217     0       1       0.133121
217     1       1       0.133022
218     0       1       0.133022
218     1       1       0.132919
219     0       1       0.132919
219     1       1       0.132813
220     0       1       0.132813
220     1       1       0.132703
221     0       1       0.132703
221     1       1       0.132588
222     0       1       0.132588
222     1       1       0.132469
223     0       1       0.132469
223     1       1       0.132346
224     0       1       0.132346
224     1       1       0.132218
225     0       1       0.132218
225     1       1       0.132086
226     0       1       0.132086
226     1       1       0.131948
227     0       1       0.131948
227     1       1       0.131805
228     0       1       0.131805
228     1       1       0.131656
229     0       1       0.131656
229     1       1       0.131502
230     0       1       0.131502
230     1       1       0.131342
231     0       1       0.131342
231     1       1       0.131176
232     0       1       0.131176
232     1       1       0.131003
233     0       1       0.131003
233     1       1       0.130824
234     0       1       0.130824
234     1       1       0.130638
235     0       1       0.130638
235     1       1       0.130444
236     0       1       0.130444
236     1       1       0.130243
237     0       1       0.130243
237     1       1       0.130034
238     0       1       0.130034
238     1       1       0.129817
239     0       1       0.129817
239     1       1       0.129591
240     0       1       0.129591
240     1       1       0.129357
241     0       1       0.129357
241     1       1       0.129112
242     0       1       0.129112
242     1       1       0.128859
243     0       1       0.128859
243     1       1       0.128595
244     0       1       0.128595
244     1       1       0.12832 
245     0       1       0.12832 
245     1       1       0.128034
246     0       1       0.128034
246     1       1       0.127736
247     0       1       0.127736
247     1       1       0.127427
248     0       1       0.127427
248     1       1       0.127104
249     0       1       0.127104
249     1       1       0.126769
250     0       1       0.126769
250     1       1       0.126419
251     0       1       0.126419
251     1       1       0.126055
252     0       1       0.126055
252     1       1       0.125676
253     0       1       0.125676
253     1       1       0.125281
254     0       1       0.125281
254     1       1       0.124869
255     0       1       0.124869
255     1       1       0.12444 
256     0       1       0.12444 
256     1       1       0.123993
257     0       1       0.123993
257     1       1       0.123526
258     0       1       0.123526
258     1       1       0.12304 
259     0       1       0.12304 
259     1       1       0.122533
260     0       1       0.122533
260     1       1       0.122003
261     0       1       0.122003
261     1       1       0.121451
262     0       1       0.121451
262     1       1       0.120875
263     0       1       0.120875
263     1       1       0.120273
264     0       1       0.120273
264     1       1       0.119645
265     0       1       0.119645
265     1       1       0.118989
266     0       1       0.118989
266     1       1       0.118304
267     0       1       0.118304
267     1       1       0.117589
268     0       1       0.117589
268     1       1       0.116841
269     0       1       0.116841
269     1       1       0.11606 
270     0       1       0.11606 
270     1       1       0.115243
271     0       1       0.115243
271     1       1       0.114389
272     0       1       0.114389
272     1       1       0.113496
273     0       1       0.113496
273     1       1       0.112563
274     0       1       0.112563
274     1       1       0.111586
275     0       1       0.111586
275     1       1       0.110564
276     0       1       0.110564
276     1       1       0.109495
277     0       1       0.109495
277     1       1       0.108376
278     0       1       0.108376
278     1       1       0.107204
279     0       1       0.107204
279     1       1       0.105977
280     0       1       0.105977
280     1       1       0.104692
281     0       1       0.104692
281     1       1       0.103347
282     0       1       0.103347
282     1       1       0.101937
283     0       1       0.101937
283     1       1       0.100459
284     0       1       0.100459
284     1       1       0.0989108
285     0       1       0.0989108
285     1       1       0.0972875
286     0       1       0.0972875
286     1       1       0.0955856
287     0       1       0.0955856
287     1       1       0.0938008
288     0       1       0.0938008
288     1       1       0.0919289
289     0       1       0.0919289
289     1       1       0.089965
290     0       1       0.089965
290     1       1       0.0879044
291     0       1       0.0879044
291     1       1       0.0857419
292     0       1       0.0857419
292     1       1       0.0834721
293     0       1       0.0834721
293     1       1       0.0810891
294     0       1       0.0810891
294     1       1       0.0785869
295     0       1       0.0785869
295     1       1       0.075959
296     0       1       0.075959
296     1       1       0.0731987
297     0       1       0.0731987
297     1       1       0.0702987
298     0       1       0.0702987
298     1       1       0.0672516
299     0       1       0.0672516
299     1       1       0.0640491

SP1_Transport	Problem type: forward
cell    node    group   phi     
0       0       0       0.120377
0       1       0       0.126396
1       0       0       0.126396
1       1       0       0.132222
2       0       0       0.132222
2       1       0       0.137861
3       0       0       0.137861
3       1       0       0.143321
4       0       0       0.143321
4       1       0       0.148605
5       0       0       0.148605
5       1       0       0.153722
6       0       0       0.153722
6       1       0       0.158675
7       0       0       0.158675
7       1       0       0.163471
8       0       0       0.163471
8       1       0       0.168115
9       0       0       0.168115
9       1       0       0.172611
10      0       0       0.172611
10      1       0       0.176965
11      0       0       0.176965
11      1       0       0.181181
12      0       0       0.181181
12      1       0       0.185264
13      0       0       0.185264
13      1       0       0.189218
14      0       0       0.189218
14      1       0       0.193047
15      0       0       0.193047
15      1       0       0.196756
16      0       0       0.196756
16      1       0       0.200347
17      0       0       0.200347
17      1       0       0.203826
18      0       0       0.203826
18      1       0       0.207195
19      0       0       0.207195
19      1       0       0.210459
20      0       0       0.210459
